1,2024-10-12 06:33:55,assalam alaykoum wa rahmatu-Llahi wa barakatuh
2,2024-10-12 06:38:59,tu penses quoi des sahawat
3,2024-10-12 06:45:40,salut
4,2024-10-12 06:47:36,test 3
5,2024-10-12 06:49:20,bonjour frere
6,2024-10-12 06:49:49,reeeee uohefqgufauzi
7,2024-10-12 07:19:41,salut
8,2024-10-12 08:10:26,comment tu va akhy ?
9,2024-10-12 08:21:18,hanbali ou shafi'i ?
10,2024-10-12 08:23:33,Quelle Madhab vous suivez ?
11,2024-10-12 08:29:22,quelle est ton cursus ?
12,2024-10-12 09:20:45,"est ce que une relation hors mariage avec fornication et condamné a mal finir meme si les personnes ce marie finalement, donc il commence dans le haram et ce marie est-il obliger que cela fini mal ?"
13,2024-10-12 12:00:22,"Quelle est le jugement concernant les néo-murjia ""madakhila"" qui prennent la défense des Tawaghit et insultent et calomnient les monothéistes, sont ils simplement des égarés ou des apostats ?"
14,2024-10-12 12:11:35,"as salam aleykoum, la mere qui permet à sa fille ( voilée) de mettre des boucs d’oreilles de ce maquiller et quand ont l’appel à craindre Allah elle dit j’en prend la responsabilité. quel est le jugement de cela ?"
15,2024-10-12 15:05:29,"as salam aleykoum , j'aimerais m'engager dans l'armée ou dans la legion étrangere , est ce haram ? Ou le combat est autorisé que si nous n'avons pas le choix ? Merci"
16,2024-10-12 16:07:04,"Quelle est le jugement des ""savants"" qui ont permis le vote aux législatives et/ou aux présidentielles ?"
17,2024-10-13 09:49:41,"السلام عليكم

J'ai une question est ce que c'est autorisé de dire que les mosquées c'est les maisons d'Allah, parceque c'est un peu une personnification non?"
18,2024-10-13 11:30:58,"Es selam alaykum, est ce que la femme peut propager sa science via les réseaux sociaux et notamment Tiktok ? Ou c’est préférable qu’elle partage rien et qu’elle soit en privé? Car meme si elle s’affiche pas ou bien elle donne aucun info sur elle des hommes DM cette femmes soit pour parler ou bien le mariage"
19,2024-10-13 12:04:00,"As salam aleykoum Akhi Al Habib,
Ma question est, Quelles sont les shurūt pour un mariage valide en Islam, et quel est le rôle de ll’intention dans ce contexte ?"
20,2024-10-13 13:28:33,"as salem alaykoum, devons-nous considérer les frontières actuelles créées par les mécréants, où devons-nous plutôt considérer seulement les frontières entre le territoire mécréant (dar al kufr) et le territoire musulman (dar al-islam, là où est appliqué la shari`a) ?

Jazak Allahu khayran"
21,2024-10-13 14:39:57,"As salamu aleykum wa rahmatuLlah wa baarakatuh, qu'Allah facilite ta daw'a et te récompense pourton travail.
Ma question est la suivante : Selon ce que j'ai compris de la réponse que tu as donné à un autre frère, les madakhila sont des kuffar de manière générale, mais comment devons-nous considérer l'individu madkhali de manière individuelle devons-nous faire iqamat al hujja avant de le kaafar de manière individuelle ?"
22,2024-10-13 14:52:25,"Salam aleykoum Akhi Al Karim, qu’Allah te preserve, quel est ton avis sur Anwār Al Awlāki? Baaraka Allah u fik"
23,2024-10-13 15:42:52,"salam aleykoum alkhy qu’elle est ton avis sur turki Al binali, qu’allah te récompense"
24,2024-10-13 15:47:31,"As salam alaykum wa rahmatullah, que penses-tu de dawla ? Sont-ils dans l’égarement ?"
25,2024-10-13 15:48:33,"As-SalamoAlaykom akhy, qu’elle et ton avis sur Abu hanzala Jazāk-Allāhu-Khayran"
26,2024-10-13 16:41:54,"salam aleykoum akhy, comment reconnaître un musulman du dar Al kufr ? Doit on le juger mécréant jusqu’à preuve du contraire ? Qu’Allah te récompense"
27,2024-10-13 16:50:30,"salam aleykoum akhy, qu’est ce que la Da’awah Najdiyah ? Qu’Allah t’augmente en science et te préserve"
28,2024-10-13 17:52:56,Est-ce que l'Afghanistan est un dar al islam ou un dar al kufr ? Et où se situe le dar al islam de nos jours
29,2024-10-13 18:24:39,Selam aleykum est ce que le livre le juste miliieu entre al khawarij et al murji’ah est un bon livre à lire ?
30,2024-10-13 19:56:55,"Comment faire en dar al kufr lorsqu'il nous arrive une épreuve mais qu'on peut pas porter plainte, que doit-on faire dans cette situation ?"
31,2024-10-13 21:20:24,"السلام عليكم 

Comment conseiller les gens qui prennent leurs sciences d'Ar-rouheyli ? 

بارك الله فيك"
32,2024-10-14 02:29:19,"Assalam alaykum akhy,
Quel est ton avis sur Sayyid Qotb rt son tafsir notamment ? 

Barak Allahu fik pour ta réponse."
33,2024-10-14 08:21:54,assalam alaykoum wa rahmatoullah quel est le jugement d'aller aux toilettes quand on porte quelque chose qui a le nom du prophète Muhammad ? Baarak'Allahoufik
34,2024-10-14 10:48:37,que signifie kufr duna kufr
35,2024-10-14 11:43:00,"As salam alaykum, si quand on essaye d’expliquer à quelqu’un pourquoi les gouverneurs d’aujourd’hui sont des tawaghit mais que cette personne nous dit qu’elle veut pas rentrer dans ce sujet mais d’un côté elle considère musulman certains pays, que devons-nous faire face à cette personne ? Est-ce qu’elle fait est juste ?"
36,2024-10-14 15:11:20,"As Salem alaykoum, est-il possible qu'une personne se porte l'oeil (العين) à lui même ? Si oui, faut-il lorsque nous constatons une beauté chez nous que nous nous disions à nous même ""Allahi barek"" ?"
37,2024-10-14 15:11:20,"As Salem alaykoum, est-il possible qu'une personne se porte l'oeil (العين) à lui même ? Si oui, faut-il lorsque nous constatons une beauté chez nous que nous nous disions à nous même ""Allahi barek"" ?"
38,2024-10-14 15:29:51,As salam aylekoum par quoi commencer si on veut apprendre sur la religion
39,2024-10-14 16:19:41,"As salam alaykum, les représentations d’ames est un sujet que je ne comprends pas, à partir de quand c’est une représentation d’ame ? peux-tu m’éclairer stp ? BaarakAllah ufik"
40,2024-10-14 16:22:09,"Selam aleykum wa rahmetullah wa barakatu, le mariage est-il obligatoire ?"
41,2024-10-14 16:22:41,"Selam aleykum wa rahmetullah wa barakatu, est-ce que tous les hommes aujourd’hui qui ont les moyens ont l’obligation d’aller combattre les juifs en Palestine ?"
42,2024-10-14 19:17:17,comment faire reprendre la prière a ses parents
43,2024-10-14 21:12:22,"Salam aleykoum wa rahmatullah wa barakatuh , quand est t il de 2 personnes qui vivent ensemble dans le haram et qui souhaite tout faire pour avoir la baraka d'Allah ? Est ce a l'homme de dire a la femme de se repentir ou tout doit venir de chaque personne ?"
44,2024-10-14 22:11:44,"Salam wa3leykoum Wa Rahmatullah Wa Barakatuh, qu'الله vous préserve Akhī pour les questions réponses, ça nous aide beaucoup, 

j'aurais une question, que dois-je faire où même comment dois-je réagir quand un shia, dénigre Aisha رحمه الله où un compagnon du prophète ﷺ comme Omar Ibn Khattab رحمه الله رحمة واسعة ?

جزاك الله خيرا"
45,2024-10-15 05:48:34,"As salam alaykoum, peux-tu m’expliquer l’excuse à l’ignorance ? Dans quelle situation elle est valable ou non"
46,2024-10-15 08:11:45,"As Salem alaykoum, faut-il être jaloux envers une femme étrangère mécréante ou non qui voit notre femme/mère dévoilée ?"
47,2024-10-15 10:54:06,Quel est le jugement d'une personne travaillant dans la justice en dar al kufr (ex: avocat etc) ?
48,2024-10-15 11:08:03,"Salam wa aleykoum wa rahmatullah wa barakatuh, qu'الله te préserve Akhy pour ta précieuse contribution à la communauté,

j'aimerais savoir quel est le cursus académique et les qualifications du Cheikh Faruq. Quelles sont les matières qu'il a étudiées et les institutions où il a appris ?

جزاك الله خيرا"
49,2024-10-15 11:08:58,"akhy, quelle est ton opinion sur les surouristes ?"
50,2024-10-15 12:32:12,"Salam aleykoum akhy qu’Allah te préserve, connais tu des instituts pour apprendre le fiqh Shafi’i 

بارك الله فيك"
51,2024-10-15 13:22:06,"As salam alaykoum wa rahmatullah, est ce que lorsque la femme demande une dote qui n’est pas facile elle commet un péché ? Quand le prophète ﷺ a dit “la meilleure dot est celle qui est la plus facile” facile généralement ou individuellement car tout les hommes n’ont pas le même moyen et dernière question est ce que la femme peut mettre en condition de mariage que son mari lui donne une certaine somme d’argent chaque mois pour qu’elle économise et qui lui appartiendra à 100% on sait jamais si son mari meurt ou elle divorce ?"
52,2024-10-15 13:38:12,"As salamu aleykum wa rahmatuLlah wa baarakatuh, quel est le jugement du takfir bil 3umum comme celui qui est rependu chez certains qui vont jusqu'à le placer comme asl din, ye3ni si on ne rend pas mécréant tout les peuples bien qu'ils s'affilient a l'islam alors notre chahada n'est pas valide. Que répondre a ces shubuhat ? Car ils s'appuient notamment sur le takfir bil 3umum des salaf concernant les banu hanifa, les guerres d'apostasie. Et donc il ne considère plus l'islam a l'apparence sans avoir questionner la personne qui s'y affilie. Est-ce du ghulu ? Si oui comment les réfuter sans tomber dans le laxisme ?"
53,2024-10-15 13:45:01,"As salam aleykoum wa rahmatullah, connaît tu une/des instituts pour apprendre le Fiqh Hanbali ? BaarakaAllah u fik wa jaazakaAllahu khayran."
54,2024-10-15 15:16:22,Est il autorisé de se marier à la mairie où ce que l’ont se marie sous les lois forgées ?
55,2024-10-15 18:59:36,"As salam alaykum wa rahmatullahi wa barakatuh, durant la période de menstruation puisque la femme ne peut ni prier ni toucher le coran, une baisse de foi apparaît chez beaucoup de soeurs, as-tu des conseils afin d’éviter ce problème ?"
56,2024-10-15 20:46:50,"salam alaykum wa rahmatullah wa barakatuh, avoir des amis mécréants est-il du kufr, car cela signifierait qu’on ne pratique pas correctement le désaveu (al-wala wal-bara) ?"
57,2024-10-15 22:54:51,"Assalamu aleykum wa rahmatuLlah wa baarakatuh, baaraka Allahu fik pour ta daw'a et le temps que tu accordes a nos questions akhi el kerim. 

Ma question est concernant la défense de notre personne et nos biens en Islam. A partir de quel moment sommes-nous dans notre haqq devant Allah t'ala de riposter à une agression physique et/ou une atteinte a nos biens ? 

Par exemple, si un homme musulman agresse son frère pour un conflit lié a dunya comme de l'argent ou une femme que tout deux convoitent (sur qui aucun des deux n'a un droit), que peut faire le frère victime de l'agression ? J'ai vu des ahadith de Nabi ﷺ sur l'homme qui meurt en protégeant sa famille ou ses biens, qu'expliquent les savants sur ces ahadith ?

Excuse-moi pour la longueur de ma question, mais nous sommes dans une époque et une terre de fitna ici  en europe, ou les frères font couler le sang et ne peuvent pas juger leurs litiges devant un qadi. Donc j'estime nécessaire de t'interroger a ce sujet. Qu'Allah te récompense.
Qu'Allah nous guide."
58,2024-10-15 22:57:13,"Assalam alaykoum, est ce que en islam un fou est responsable des péchés qu’il commet ?"
59,2024-10-16 07:20:42,"As Selām alejkum, veuillez m’excuser pour le peu de pertinence de ma question mais quel est le jugement de passer le selam aux animaux (chat)"
60,2024-10-16 07:34:54,"Selam aleykum wa rahmetullah wa barakatu, Si l’on parle de quelqu’un en son absence, mais que ce n’est ni en bien ni en mal, doit-on quand même s’excuser auprès de cette personne ?"
61,2024-10-16 10:34:34,Selam aleykum wa rahmatulah je suis dans une famille avec 3 soeur je suis le seul garçon. Le problème est que malgré que je force mes soeur a mettre le voile intégral elle ne veulent pas . Sachant que mon père a apostasier et ne veut pas que mes soeurs le met . Que doit je faire?
